owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000222,Spectacles onésiens,FES,Onex,Onex,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000223,Quinzaine Artistique d'Orbe,-0,Orbe,Orbe,VD,,,,na,1966-1991,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000224,La Cour des Contes,,Plan-les-Ouates,Plan-les-Ouates,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000225,Festival International du One-man-show et de l'Humour,-0,Pully,Pully,VD,,,,na,1982,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000226,Glucose Festival,FES VOK,Riaz,Riaz,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000227,Festival Rümlingen,FES,Rümlingen,Rümlingen,BL,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000228,Dis da cultura da Samedan,FES,Samedan,Samedan,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000229,Festival; Theater Total (Theaterfestival),FES,Sargans,Sargans,SG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000230,English Theatre Festival Schaffhausen,FES,Schaffhausen,Schaffhausen: Stadttheater Schaffhausen (Verweis: Schaffhausen: Schauwerk),SH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000231,Festival Jups (Festival Junges Publikum Schaffhausen),FS STK,Schaffhausen,Schaffhausen,SH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000232,Heimspiel SH,FES,Schaffhausen,Schaffhausen: Stadttheater Schaffhausen,SH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000233,Internationale Opernwerkstatt,FES,Sigriswil,Sigriswil,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000234,Festival des artistes valaisans,,Sion,Sion,VS,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000235,Festival Scènes Valaisannes,FES,Sion (?),Sion,VS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000236,Solothurn Classics,FES,Solothurn,Solothurn,SO,,,,a,,Classic Openair Solothurn,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000237,Buskers-Festival St. Gallen,FES,St. Gallen,St. Gallen,SG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000238,St. Galler Festspiele,FES,St. Gallen,St. Gallen: Theater St. Gallen,SG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000239,"St. Galler Literaturtage ""Wortlaut""",FES,St. Gallen,St. Gallen,SG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000240,"Theaterfestival für Kinder und Jugendliche (Projekt, noch ohne Titel)",FES STK,St. Gallen,St. Gallen,SG,,,,a,2018-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000241,"Opéra St. Moritz (inkl. Opéra Basel)(Opera St. Moritz, Opera Basel)",FES,St. Moritz,"St. Moritz (2007 Opernfestival Basel / Riehen, Opera Basel unter: Basel: Opernfestival)",GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000242,St. Prex Festival (Festival de St. Prex) (später: Luna Classics),-0,St. Prex,St. Prex,VD,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000243,"Maribur (Rassegna del Teatro di Figura ""Otello Sarzi"" (Festival)",FES STP,Stabio,Stabio,TI,,Unima,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000244,Stans lacht (Humorfestival),FES VOK,Stans,Stans,NW,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000245,Zeltkultur (Kleinkunstfestival),FES VOK,Starrkirch-Wil,Starrkirch-Wil,SO,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000246,tanz:now (Tanzfestival Theater Phönix),FS STT,Steckborn ,Steckborn: Phönix-Theater,TG,,,,a,,theater:now (Theater: Now),,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000247,"theater:now (Theater: Now) (später: tanz:now, Tanzfestival Theater Phönix)",-0,Steckborn ,Steckborn: Phönix-Theater,TG,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000248,nordArt (Festival),FES,Stein am Rhein,Stein am Rhein,TG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000249,Variations Musicales de Tannay,FES,Tannay,Tannay,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000250,Internationales Amateurtheaterfestival Thun,-0,Thun,Thun,BE,,,,na,1986-2002,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000251,Schweizer Künstlerbörse (KTV),FES VOK,Thun (früher wechselnde Orte),Schweiz: Grundsätzliches: KTV-Börse,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000252,Theaterfestival Thusis (Festival da teater Tusaun,FES ATV,Thusis,Thusis (nicht ZSV?),GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000253,Sommertheater Überlingen,FES,Überlingen,Konstanz,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000254,Hinterhalt-Festival,FES,Uster,Uster,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000255,Verbier Festival,FES,Verbier,Verbier,VS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000256,Festival de danse contemporaine de Vernier,-0,Vernier,Vernier,GE,,,,na,1983-1993,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000257,Bodenseefestival,FES,verschiedene Orte, CH: Einz. Regionen: Ostschweiz,"A, CH, D",,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000258,éviDanse (eviDanse) (festival),FES STT,verschiedene Orte,CH: Einz. Regionen: Jura,JU,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000259,Incontri Teatrali (TASI),-0,verschiedene Orte, Lugano: TASI und CH: Einz. Regionen: Italienische Schweiz (bereinigen),TI,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000260,Wintergäste (Reihe),FES,verschiedene Orte, CH: Einz. Regionen: Baselland,BL,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000261,Schultheatertage Ostschweiz,FES ATV,verschiedene Orte ,CH: Einz. Regionen: Ostschweiz,,,,,,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000262,Festival de création amateurs,-0,Vevey,Vevey,VD,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000263,ACT (Performance Festival der Schweizer Kunsthochschulen / Platforme performative des hautes écoles d'art Suisse),FES AUS,wechselnde Orte,CH: Grundsätzliches: Tourneen,-0,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000264,Biennale des Schweizer Amateurtheaters,FES ATV,wechselnde Orte,"ZSV, Ort?",,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000265,Festival du cartel des petits théâtres de Suisse Romande,-0,wechselnde Orte,CH: Einz. Regionen: Suisse Romande,,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000266,Figuresco (Figurentheatertag für Kinder),FES STK,wechselnde Orte,Ch: Grundsätzliches: wechselnde Orte,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000267,Journées de théâtre suisse contemporain (JTSC),FES,wechselnde Orte,CH: Grundsätzliches,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000268,"Kinderland (Paese die Ragazzi, FestiKids Openair)",FES,wechselnde Orte,CH: Grundsätzliches: wechselnde Orte: Kinderland,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000269,Liederlich (Liedermacherfestival),FES VOK,wechselnde Orte,Zürich,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000270,Schweizer KleinKunstTag,FES VOK,wechselnde Orte,CH: Grundsätzliches: KleinKunstTag),,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000271,sagenhaft (Kulturprojekt Albert Koechlin Stiftung) (2013),Kulturprojekt,wechselnde Orte,CH: Einz. Regionen: Innerschweiz,,,,,na,2013,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000272,sehnsucht (Kulturprojekt Albert Koechlin Stiftung) (2016),Kulturprojekt,wechselnde Orte,CH: Einz. Regionen: Innerschweiz,,,,,na,2016,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000273,"SPOT (Kinder- und Juendtheaterfestival, Kinder- und Jugendtheatertreffen)",FES STK,wechselnde Orte,"uneinheitliche Ablage: z.T. unter Bremgarten,z.T. unter CH: Grundsätzliches, ASTEJ u Sacherschliessung 1.28 (auch eigenes Couvert unter Bern)",-0,,,,a,,KJTT Schweizerische Kinder- und Jugendtheatertage,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000274,Theaterfestival BVV <STS unter ZSV Theaterfestival BVV>,FES ATV,wechselnde Orte, CH: Grundsätzliches: KleinKunstTag,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000275,Thurgauer Theatertage (TTT),FES,wechselnde Orte,CH: Einz. Reg.: Kt. Thurgau,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000276,Zeitgenössische Schweizer Tanztage (Journées de danse contemporaine Suisse / Giornate di danza contemporanea Svizzera / Swiss Comteporary Dance Days / Schweizer Tanztage / Swiss Dance Days,FES STT,wechselnde Orte,CH: Grundsätzliches: Tanz: Zeitgenössische Schweizer Tanztage,-0,,,,a,,Schweizer Zeitgenössische Tanztage,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000277,Schweizer Theatertreffen,FES,"wechselnde Orte (Winterthur, Genève) ",CH: Grundsätzliches: Schweizer Theatertreffen (Reorganisation in Bearb.),,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000278,theaterblitze,FES,Weinfelden,Weinfelden,TG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000279,augenauf! (Festival Winterthurer Theaterhäuser),FES,Winterthur,Winterthur,ZH,,,,a,2015-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000280,Bundesordner <satirischer Jahresrückblick Casinotheater Winterthur mit Tournée>,FES VOK,Winterthur,Winterthur: Casinotheater,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000281,Frischlingsparade,-0,Winterthur,Winterthur: Casinotheater,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000282,Stille Kracht (Dinnerspektakel),,Winterthur,Winterthur: Casinotheater,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000283,"Tanzfestival Winterthur, Tanzzeitfestival Winterthur (tanzinwinterthur)",FES STT,Winterthur,Winterthur,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000284,Winterthur fliegt,FES,Winterthur,Winterthur: Theater Winterthur,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000285,Winterthurer Theater-Mai,-0,Winterthur,"Winterthur: Winterthurer Theater-Mai, wenn Grundsätzliches. Mehrere Aufführungen oder ausländische Gastspiele, Verweiskopie in Stammort des einzelnen Schweizer Theaters, wenn nur 1-2 Aufführungen)",,,,,na,1980-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000286,Winterthurer Theaterfrühling,FES,Winterthur,Winterthur,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000287,Jeux du Castrum <festival de rue>,FES,Yverdon,Yverdon,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000288,Heitere Comedy Open Air,FES,Zofingen,Zofingen,AG,,,,a,(noch existen?),,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000289,Moonlight Classics (Die grosse Gala der Klassik),FES,Zofingen,Zofingen,AG,,,,a,,Classic Open Air,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000290,Breakthrough International Breakdance Festival,FES STT,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000291,Die urbane Geschichtenoase (Palmenhaus),FES,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000292,Dunkelschön Art-Perfromance-Festival,FES,Zürich,Zürich: Rote Fabrik,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000293,E-motions (Tanzfestival),FES STT,Zürich,Zürich,ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000294,Festival am See,FES,Zürich,Zürich,ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000295,Festival der Künste (ZHDK),FES,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000296,"Forum Tanz (reso, Danse Suisse, Pro Helvetia)",FES STT,Zürich,Institutionen: Forum Tanz,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000297,Freischwimmer Festival,FES TFS,Zürich,Zürich: Gessnerallee,ZH ,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000298,Gipfelstürmer Festival,-0,Zürich,Zürich: Gessnerallee,ZH ,,,,na,1994-2011,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000299,Hope & Glory Festival der jungen Talente,FES,Zürich,Zürich,ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000300,Internationales Puppentheater-Festival Zürich,-0,Zürich,Zürich: Zürchr Puppentheater,ZH,,,,na,"1984, 1988",,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000301,Internationales Theatersportfestival,FES,Zürich,Zürich: Eidgenössisches Improvisationstheater,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000302,Juni-Festwochen Zürich (später: Zürcher Festspiele),-0,Zürich,"Zürich, Juni-Festwochen (wenn Grundsätzliches, mehrere Aufführungen u. Veranstaltungen ausserhalb der üblichen Spielstätten), Stammort einz. Schweizer Theater (in allen anderen Fällen)",ZH,,,,na,1921-1993,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000303,Keine Disziplin (Internationales Festival),FES TFS,Zürich,Zürich: Gessnerallee,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000304,Laugh up! Stand Up!,FES VOK,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000305,Miller’s Spektakuli (Spektatkuli) (Internationales Kabarettfestival),FES VOK,Zürich,Zürich: Miller's Studio),ZH,,,,a,2015-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000306,Modetheater,-0,Zürich,Zürich: Schweizerische Landesausstellung Zürich (1939) u. Zürich: Schweizer Modewoche (1942-1944),ZH,,,,na,"1939, 1942-1944",,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000307,Okkupation – Internationales Theaterfestival (Rote Fabrik),-0,Zürich,Zürich: Theater Hora (ZSV),ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000308,Quinzaine culturelle romande,-0,Zürich,Zürich: MGB,ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000309,Schläck Theater für Chind ,-0,Zürich,Zürich,ZH,,,,na,1984,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000310,Stand Up! Comedy Show,-0,Zürich,Zürich: Bernhard Theater,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000311,Spunk Zürcher Impro-Theater Festival,FES,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000312,Stromereien (Performance-Festival),FES TFS,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000313,Take That (Festival),FES,Zürich,Zürich: Gessnerallee und Zürich: Tanzhaus Zürich und Zürich: Rote Fabrik,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000314,Tanzströmungen,FES STT,Zürich,Zürich,ZH,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000315,Yeah Yeah Yeah Internationales Zürcher Tanzfestival ,FES STT,Zürich,Zürich: Rote Fabrik,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000316,Zürcher Festspiele (ab 2012 Festspiele Zürich) (früher: Juni-Festwochen Zürich),FES,Zürich,Zürich,ZH,,,,a,1996-,Juni-Festwochen Zürich,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000317,Zürcher Restspiele,FES TFS,Zürich,Zürich: Rote Fabrik,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000318,Zürcher Theaterspektakel (Zürcher Theater Spektakel),FES,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000319,Zürich moves (Festival for Contemporary Dance),FES STT,Zürich,Zürich,ZH,,Premio,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000320,Zürich tanzt (Festival),FES STT,Zürich,Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000321,Pas de problème (Festival),,Zürich (Schwamendingen),Zürich,ZH,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000322,Das Tanzfest (Fète de la danse / Festa danzante),FES STT,Zürich et. al.,CH: Grundsätzliches: Das Tanzfest (Doubletten unter einz. Orte),ZH ...,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000323,Lilibiggs Kinder Festivals,FES STK,Zürich et. al.,CH: Grundsätzliches: Tourneen: Lilibiggs,ZH ...,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000324,Steps (Tanzfestival),FES STT,Zürich et. al.,Zürich: MGB,ZH ...,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000325,Tanzfaktor interregio,FS STT,Zürich et. al.,Zürich,ZH ...,,,,a,,Tanz>faktor ,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000326,Tanznovember,-0,Zürich et. Al.,Zürich: AG Tanz?,ZH,,,,na,"1985-1988, 1991",,,,1 C (Bern),2000-  (Bern)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000327,Blickfelder (Theaterfestival),FES STK,"Zürich, Bern, Basel ...","Zürich, Bern, Basel ...","ZH, BE, BS ...",,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000328,Konzilfestspiele,FES,Konstanz,D: Konstanz,-0,,,,a,,,,,,
