owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,ex:statusaaktivnanichtaktiv,schema:Organization,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000001,,,,,,,,,,VP,,PA,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000002,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000003,,,siehe auch Sachkatalog,,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000004,VAV (Verband Aargauer Volkstheater),Aarau?,,AG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000005,AiEP (Avventure in Elicottero Prodotti),Aarau,,TI,,,TASI         KTV,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000006,Aargauische Ballet-Vereinigung,Aarau,Aarau,AG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000007,ACP (Associazione Cultura Popolare),Balerna,,TI,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000008,GBK (Genossenschaft Basler Kleintheater) (in STS Behandlung wie Veranstalter),Basel,,BS,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000009,IGNM Internationale Gesellschaft für Neue Musik,"Basel, Bern, Brig (Wallis), Luzern (Zentralschweiz), Zürich",je nach Standort,,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000010,SBV /UTS / UTS (Schweizerischer Bühnenverband / Union des Théâtres Suisses / Unione dei Teatri Svizzeri),Basel,,BS,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000011,"SGTK Schweizerische Gesellschaft für Theaterkultur (SST Société Suisse du Théâtre, Società svizzera di studi teatrali)",Basel,Basel,BS,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000012,FFSI Federazione Filodrammatiche della Svizzera Italiana),Bellinzona,,TI,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000013,ACT (Berufsverband der Freien Theaterschaffenden / Association des Createurs du Théâtre Independant / Associazione Creatori Teatrali Indipendenti),Bern,,BE,,,,,VTS Vereinigte Theaterschaffende Schweiz / Association suisse des créateurs de théâtre / Associazione teatri indipendenti,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000014,assitej/astej (schweizerischer verband für kinder- und jugendtheater / association suisse du théâtre pour lenfance et la jeunesse / associazione svizzera del teatro per linfanzia e la gioventù),Bern,,BE,,,Corodis,,Schweizerischer Verband des Theaters für Kinder und Jugendliche,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000015,IG SBTG (IG ASDeM),Bern,,BE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000016,SBTG (Schweizerischer Berufsverband für Tanz und Gymnastik) (ASDeM Association Professionelle Suisse de la Danse et du Mouvement) (später: IG SBTG),Bern,,BE,,na,,1939-2008,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000017,VTS Vereinigte Theaterschaffende der Schweiz / Association suisse des Créateurs du théâtre (später: ACT),,,,,,,1983-2009,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000018,"ktv / atp (Vereinigung KünstlerInnen Theater  VeranstalterInnen, Schweiz / Association artistes  théâtres  promotion, Suisse / Associazione artisti  teatri  promozione, Svizzera)",Biel,,BE,,,Corodis,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000019,BVV / UTP / AGT (Bündner Vereinigung für das Volkstheater / Uniun grischuna per il teater popular / Associazione grigione per il teatro popolare),Chur,,GR,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000020,AFTA (Association Fribourgeoise de Théâtre Amateur),Fribourg,,FR,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000021,SVTC (Schweizerischer Verband der Tänzer und Choreographen / Association suisse des danseurs et choréographes / ASVIDAC Associazione Svizzera Danzatori e Coreografi) (später: Danse Suisse),Fribourg,,FR,,na,,1987-,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000022,Antenne théâtrales <Centre de Documentation>,Genève,,GE,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000023,Association Femme de Théâtre,Genève,,GE,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000024,BASIS (Bureau Arts de la Scène des Indépendants Suisses),Genève,"Genève: Théâtre du Grütli, auch unter Fachbegriffe: 2.79 und 1.04 (GE)",GE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000025,"Fédération indépandante des artistes, artisans et animateurs de spectacles (FIAT)",Genève,Genève,GE,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000026,Société Romande de Spectacles SRS,Genève,Genève,GE,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000027,UNIMA Suisse (Vereinigung Figuren- und Puppentheater / Association Suisse pour le Théâtre de Marionnettes / Associazione per il Teatro con Figure),Herisau,,AR,,,,,Schweizerische Vereinigung für Puppenspiel (SVfP),,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000028,Vereinigung zur Förderung Zürcher Jugendtheater,Horgen,Horgen,ZH,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000029,"SBLV (Schweizerischer Ballettlehrerverband, ASPD Association Suisse des Professeurs de Danse Classique)",Jona,,SG,,na,,1972-2008,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000030,ACTC (Association pour la Création Théâtrale Contemporaine),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000031,AFJD Association pour la formation de jeunes danseurs,Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000032,artos le site romand du spectacle,Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000033,AVDC (Association Vaudoise de Danse Contemporaine),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000034,AVLI (Association Vaudoise des Ligue d'Improviation),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000035,Cartel des petits théâtres de Suisse Romande,Lausanne,,VD,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000036,CH-Dramaturgie,"Lausanne, früher Zürich",?,VD,,na,,?-2012,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000037,CORODIS (Commission Romande de Diffusion des Spectacles),Lausanne,,VD,,,,,Pool de Théâtres Romands,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000038,Ligue d'Improvisation Suisse (LIS),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000039,Parloir Romand,"Lausanne, Genève, La-Chaux-de-Fonds",Lausanne,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000040,Poudre dâmes Association théâtrale,Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000041,SSRS (Le Syndicat Suisse Romand du Spectacle),Lausanne (Prilly),,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000042,UTR (Union des Théâtres Romands),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000043,SSA (Société Suisse des Auteurs),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000044,SuisseTHEATRE ITI / SwissTheatre ITI,Lausanne,,VD,,,,,Centre Suisse ITI,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000045,VSZ / ASC (Verband Schweizer Zirkusunternehmen / Association Suisse des Cirques),Lipperswil,,TG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000046,Rete TASI (Teatri Associati della Svizzera Italiana),Lugano,,TI,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000047,"Forum Freies Theater Luzern <Dachverband freie Theater- u. Tanzschaffende Luzern, Zentralschweiz>",Luzern,,LU,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000048,RZV (Regionalverband Zentralschweizer Volkstheater),"Luzern (Schwarzenberg) <Regionalverband Kt. LU, NW, OW, SZ, UR)",,LU,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000049,eat-ch Ecrivains Associées du Théâtre en Suisse,Neuchâtel?,,NE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000050,ADT Association pour la danse et le théâtre,Onex,Genève,GE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000051,AJAR Association des Jeunes Auteurs Romands,Plans-les-Ouates,Plans-les-Ouates,GE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000052,AFPDanza (Associazione Formazione Professione Danza),Taverne,,TI ,,,TASI,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000053,MusiktheaterVereinigung,Wil SG,,SG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000054,AdS (Autorinnen und Autoren der Schweiz / Autrices et Auteurs de Suisse / Autrici et Autori della Svizzera / Auturas et Auturs da la Svizra),Zürich,,ZH,,,,,"SSV Schweizerischer Schriftstellerinnen- und Schriftsteller-Verband, SSE Société Suisse des écrivaines et des écrivains, SSS Società svizzera delle scrittrici e degli scrittori",,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000055,Danse Suisse / Tanz Schweiz (Berufsverband der Schweizer Tanzschaffenden / Association suisse des professionnels de la danse / Associazione svizzera dei professionisti della danza),Zürich,,ZH,,,,,SDT (Schweizerischer Dachverband der Fachkräfte des künstlerischen Tanzes) und VSBT (Vereinigung Schweizerischer Berufsverbände des Tanzes),,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000056,Frauen im Theater (FiT),Zürich?,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000057,"reso (Tanznetzwerk Schweiz, Réseau Danse Suise, Rete Danza Svizzera, Dance Network Switzerland)",Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000058,RVA (Regionalverband Amateurtheater Zürich-Glarus),Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000059,SADS Schweizerische Arbeitsgemeinschaft für das darstellene Spiel,Zürich?,,ZH?,,na,,1973-2004,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000060,SBKV (Schweizerischer Bühnenkünstlerverband),Zürich,,ZH,,,,1920-,Verband der Bühnenkünstler in der Schweiz,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000061,SIG Schweizerische Interpretengenossenschaft (inkl. SIS Schweizerische Interpretenstiftung),Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000062,VSBT Vereinigung Schweizerischer Berufsverbände des Tanzes) (später Danse Suisse),Zürich,,ZH,,,,,1991-2004,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000063,Zürcher Ballettforum <?>,Zürich,Zürich,ZH,,na,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000064,amathea ,"wechselnde Orte <Regionalverband Kt. BE, dtspr. FR und VS)",,unbest.,,,,,BVGT (Bernische Gesellschaft für das Volkstheater),,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000065,FSSTA (Fédération suisse des sociétés théâtrales damateurs),wechselnde Orte?,,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000066,RVNWS (Schweizer Volkstheater Regionalverband Nordwestschweiz),"wechselnde Orte <Regionalverband Kt. BL, BS, SO)",,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000067,GSD (Gesellschaft Schweizerischer Dramatiker),???,,unbest.,,,,1924-1985,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000068,SDT (Schweizerischer Dachvervand der Fachkräfte des künstlerischen Tanzes) (Association faîtière suisse des professionnels de la danse)(später: Danse Suisse),???,,unbest.,,,,1974-2004,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000069,"SSV Schweizerischer Schriftstellerinnen- und Schriftsteller-Verband, SSE Société Suisse des écrivaines et des écrivains, SSS Società svizzera delle scrittrici e degli scrittori",Zürich,Zürich,ZH,,,,na,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000070,tps Fachverband Theaterpädagogik Schweiz (ab 2014 integriert in ACT),???,,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000071,VOV (Verband Ostschweizer Volkstheater),"wechselnde Orte? <Regionalverband Kt. AI, AR, SG, TG, SH, LI)",,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000072,ZSV (Zentralverband Schweizer Volkstheater),wechselnde Orte?,,unbest.,,,,,,,,,
,,,,,,,,,,,,,,
,,European Theatre Convention (ETC),Paris,Paris,Frankreich,,,,,,,,,
,,"International Theatre Institute ITI, Internationales Theaterinstitut",Paris,Paris,Frankreich,,,,,,,,,
,,,,,,,,,,,,,,
,,Inthega (Interessengemeinschaft der Städte mit Theatergaspielen),Ludwigsburg,,Deutschland,,,,,,,,,
,,Inthega (Interessengemeinschaft der Städte mit Theatergaspielen): Landesgruppe Schweiz,Olten,,Schweiz,,,,,,,,,
